date,zec,ltc,eth,btc
71202300,21.923714,2.19867,340.304275,62.0490569
71202200,0.07707,11.5759996,70.3644482,110.507722
71202100,10.289519,428.37464,229.937924,67.408266
71202000,15.8257551,99.96972,177.810747,223.647007
71201900,2012.37761,56.29147,2132.34188,50.8206899
71201800,2.5524,310.63132,588.589575,96.6511396
71201700,101.775591,1160.92592,641.183289,113.95197
71201600,254.59557,512.412778,1050.67091,153.175702
71201500,24.968555,28.0238799,575.780472,286.421594
71201400,30.372169,41.2412,559.327256,74.0832874
71201300,73.397519,180.56427,685.056892,294.004217
71201200,1.158106,26.17726,17.669382,57.5046006
71201100,5.790815,127.63797,66.9428222,307.46901
71201000,0,10,614.475834,50.0713505
7120900,1.879256,31.98474,9.78341251,41.0921478
7120800,0.698056,63.04604,535.093615,54.3476999
7120700,0,437.221518,106.084196,13.4561386
7120600,270.69909,1774.5946,60.9068,50.2264818
7120500,99.443016,160.31687,632.755572,23.4627085
7120400,32.669953,14.52207,551.297323,49.3747426
7120300,24.212834,877.77398,63.0835646,43.2963146
7120200,0.717072,1.25661,78.7721368,22.7043707
7120100,88.515482,22.63883,638.009089,29.3249248
7120000,9.712012,141.4091,186.337824,70.5626647
630202300,0.1297,3.34133,240.524187,41.1172901
630202200,120.37371,8.01417,197.31352,24.2845661
630202100,246.370353,134.0201,154.887871,65.1116249
630202000,0.172936,51.81756,662.437298,60.4968347
630201900,439.748396,119.37244,339.131103,70.6811939
630201800,804.948664,419.126192,112.656998,90.1502128
630201700,72.121116,963.90639,100.642231,51.9963428
630201600,162.964749,180.68329,520.300204,71.313074
630201500,194.817375,667.00919,1269.88226,58.3492942
630201400,241.283556,216.843515,507.720781,33.6928244
630201300,207.270367,300.25846,649.224414,101.884756
630201200,708.490444,1324.64286,1055.16731,27.7340655
630201100,2,0,261.290272,14.8372341
630201000,0,0,16.883805,52.525586
63020900,222.828615,2.4163729,59.079586,51.5600035
63020800,20.997067,14.6982926,15.545019,17.9190728
63020700,2.093689,0,132.345032,15.0615305
63020600,0,51.9112192,38.5435835,43.5431098
63020500,2.447907,195.0396,438.777092,98.3572962
63020400,2.387859,448.65584,8.859154,5.31265533
63020300,1.580669,4.76972,167.603258,12.0111562
63020200,35.682344,38.90531,171.642401,17.4565708
63020100,206.001994,214.82458,263.909023,152.34187
63020000,3.438837,729.14652,53.3786714,39.6900073
629202300,300.602726,141.84527,74.3665336,33.4945921
629202200,315.743802,5250.81254,1230.85958,57.3360007
629202100,115.072308,127.36533,213.748049,104.476711
629202000,6.325114,209.19252,722.574218,81.6152971
629201900,0,111.33505,382.191436,70.3604406
629201800,60.692599,55.47052,654.77486,201.077441
629201700,539.186911,251.648848,1615.76378,96.4594307
629201600,103.148002,106.98875,457.882067,148.3603
629201500,191.374767,332.086148,655.126999,97.8933029
629201400,2.274927,391.124682,330.642999,140.434227
629201300,55.653554,886.56166,827.431289,180.671797
629201200,475.063403,2262.58512,336.834248,40.7152138
629201100,184.745167,49.17256,60.165209,57.0846711
629201000,358.776875,380.78,127.145689,31.0284949
62920900,255.928523,1.05902,152.190432,16.247348
62920800,84.1540371,13.06885,957.905013,36.8130592
62920700,4.389299,39.37925,265.091363,32.8815277
62920600,4.215339,1804.84382,413.206721,10.0165656
62920500,83.049061,501.902588,121.630811,12.8932332
62920400,469.455006,47.87317,50.5902568,18.7338327
62920300,3.673718,112.56169,75.5515387,14.3855594
